1	0.571	1.234	2.165	3.706	6.517
2	0.349	0.718	1.264	2.185	3.876
4	0.303	0.623	1.085	1.920	3.359
8	0.302	0.620	1.091	1.896	3.391
16	0.325	0.627	1.090	1.888	3.350
